"pruid","prname","prnameFR","date","numconf","numprob","numdeaths","numtotal","numtested","numtoday","percentoday"
24,"Quebec","Québec","29-03-2020",2840,0,22,2840,52204,NA,NA
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","29-03-2020",135,0,0,135,2107,NA,NA
13,"New Brunswick","Nouveau-Brunswick","29-03-2020",66,0,0,66,2847,NA,NA
12,"Nova Scotia","Nouvelle-Écosse","29-03-2020",122,0,0,122,4984,NA,NA
11,"Prince Edward Island","Île-du-Prince-Édouard","29-03-2020",11,0,0,11,477,NA,NA
61,"Northwest Territories","Territoires du Nord-Ouest","29-03-2020",1,0,0,1,740,NA,NA
62,"Nunavut","Nunavut","29-03-2020",0,0,0,0,125,NA,NA
60,"Yukon","Yukon","29-03-2020",4,0,0,4,678,NA,NA
99,"Repatriated travellers","Voyageurs rapatriés","29-03-2020",13,0,0,13,0,NA,NA
1,"Canada","Canada","29-03-2020",6255,3,61,6258,210435,NA,NA
59,"British Columbia","Colombie-Britannique","30-03-2020",960,0,19,960,34969,NA,NA
48,"Alberta","Alberta","30-03-2020",690,0,8,690,46057,NA,NA
47,"Saskatchewan","Saskatchewan","30-03-2020",175,0,2,175,9372,NA,NA
46,"Manitoba","Manitoba","30-03-2020",83,13,1,96,8326,NA,NA
35,"Ontario","Ontario","30-03-2020",1706,0,33,1706,54112,NA,NA
24,"Quebec","Québec","30-03-2020",3430,0,25,3430,59715,NA,NA
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","30-03-2020",148,0,1,148,2332,NA,NA
13,"New Brunswick","Nouveau-Brunswick","30-03-2020",68,0,0,68,3267,NA,NA
12,"Nova Scotia","Nouvelle-Écosse","30-03-2020",127,0,0,127,5492,NA,NA
11,"Prince Edward Island","Île-du-Prince-Édouard","30-03-2020",18,0,0,18,477,NA,NA
61,"Northwest Territories","Territoires du Nord-Ouest","30-03-2020",1,0,0,1,740,NA,NA
62,"Nunavut","Nunavut","30-03-2020",0,0,0,0,158,NA,NA
60,"Yukon","Yukon","30-03-2020",5,0,0,5,688,NA,NA
99,"Repatriated travellers","Voyageurs rapatriés","30-03-2020",13,0,0,13,0,NA,NA
1,"Canada","Canada","30-03-2020",7424,13,89,7437,225705,NA,NA
59,"British Columbia","Colombie-Britannique","31-03-2020",970,0,19,970,36024,NA,NA
48,"Alberta","Alberta","31-03-2020",754,0,9,754,48692,NA,NA
47,"Saskatchewan","Saskatchewan","31-03-2020",184,0,2,184,9372,NA,NA
46,"Manitoba","Manitoba","31-03-2020",91,12,1,103,8629,NA,NA
35,"Ontario","Ontario","31-03-2020",1966,0,33,1966,55909,NA,NA
24,"Quebec","Québec","31-03-2020",4162,0,31,4162,67540,NA,NA
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","31-03-2020",152,0,1,152,2500,NA,NA
13,"New Brunswick","Nouveau-Brunswick","31-03-2020",70,0,0,70,3630,NA,NA
12,"Nova Scotia","Nouvelle-Écosse","31-03-2020",147,0,0,147,6614,NA,NA
11,"Prince Edward Island","Île-du-Prince-Édouard","31-03-2020",21,0,0,21,551,NA,NA
61,"Northwest Territories","Territoires du Nord-Ouest","31-03-2020",1,0,0,1,808,NA,NA
62,"Nunavut","Nunavut","31-03-2020",0,0,0,0,167,NA,NA
60,"Yukon","Yukon","31-03-2020",5,0,0,5,702,NA,NA
99,"Repatriated travellers","Voyageurs rapatriés","31-03-2020",13,0,0,13,0,NA,NA
1,"Canada","Canada","31-03-2020",8536,12,96,8548,241138,NA,NA
59,"British Columbia","Colombie-Britannique","01-04-2020",1066,0,25,1066,36364,NA,NA
48,"Alberta","Alberta","01-04-2020",754,0,9,754,53141,NA,NA
47,"Saskatchewan","Saskatchewan","01-04-2020",193,0,3,193,10202,NA,NA
46,"Manitoba","Manitoba","01-04-2020",109,18,1,127,9811,NA,NA
35,"Ontario","Ontario","01-04-2020",2392,0,37,2392,61009,NA,NA
24,"Quebec","Québec","01-04-2020",4611,0,33,4611,69711,NA,NA
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","01-04-2020",175,0,1,175,2762,NA,NA
13,"New Brunswick","Nouveau-Brunswick","01-04-2020",81,0,0,81,4121,NA,NA
12,"Nova Scotia","Nouvelle-Écosse","01-04-2020",173,0,0,173,7405,NA,NA
11,"Prince Edward Island","Île-du-Prince-Édouard","01-04-2020",21,0,0,21,551,NA,NA
61,"Northwest Territories","Territoires du Nord-Ouest","01-04-2020",2,0,0,2,951,NA,NA
62,"Nunavut","Nunavut","01-04-2020",0,0,0,0,183,NA,NA
60,"Yukon","Yukon","01-04-2020",5,0,0,5,722,NA,NA
99,"Repatriated travellers","Voyageurs rapatriés","01-04-2020",13,0,0,13,0,NA,NA
1,"Canada","Canada","01-04-2020",9595,18,109,9613,256933,NA,NA
59,"British Columbia","Colombie-Britannique","02-04-2020",1121,0,31,1121,36966,NA,NA
48,"Alberta","Alberta","02-04-2020",968,0,13,968,57096,NA,NA
47,"Saskatchewan","Saskatchewan","02-04-2020",206,0,3,206,11034,NA,NA
46,"Manitoba","Manitoba","02-04-2020",152,15,1,167,11098,NA,NA
35,"Ontario","Ontario","02-04-2020",2793,0,53,2793,64785,NA,NA
24,"Quebec","Québec","02-04-2020",5518,0,36,5518,74542,NA,NA
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","02-04-2020",183,0,1,183,2904,NA,NA
13,"New Brunswick","Nouveau-Brunswick","02-04-2020",91,0,0,91,4625,NA,NA
12,"Nova Scotia","Nouvelle-Écosse","02-04-2020",193,0,0,193,8059,NA,NA
11,"Prince Edward Island","Île-du-Prince-Édouard","02-04-2020",22,0,0,22,653,NA,NA
60,"Yukon","Yukon","02-04-2020",6,0,0,6,742,NA,NA
61,"Northwest Territories","Territoires du Nord-Ouest","02-04-2020",2,0,0,2,969,NA,NA
62,"Nunavut","Nunavut","02-04-2020",0,0,0,0,193,NA,NA
99,"Repatriated travellers","Voyageurs rapatriés","02-04-2020",13,0,0,13,0,NA,NA
1,"Canada","Canada","02-04-2020",11268,15,138,11283,273666,NA,NA
59,"British Columbia","Colombie-Britannique","03-04-2020",1174,0,35,1174,39926,NA,NA
48,"Alberta","Alberta","03-04-2020",1075,0,18,1075,60508,NA,NA
47,"Saskatchewan","Saskatchewan","03-04-2020",220,0,3,220,11720,NA,NA
46,"Manitoba","Manitoba","03-04-2020",164,18,2,182,11650,NA,NA
35,"Ontario","Ontario","03-04-2020",3255,0,67,3255,67998,NA,NA
24,"Quebec","Québec","03-04-2020",6101,0,61,6101,83570,NA,NA
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","03-04-2020",183,0,1,183,5036,NA,NA
13,"New Brunswick","Nouveau-Brunswick","03-04-2020",95,0,0,95,3136,NA,NA
12,"Nova Scotia","Nouvelle-Écosse","03-04-2020",207,0,0,207,8799,NA,NA
11,"Prince Edward Island","Île-du-Prince-Édouard","03-04-2020",22,0,0,22,653,NA,NA
60,"Yukon","Yukon","03-04-2020",6,0,0,6,753,NA,NA
61,"Northwest Territories","Territoires du Nord-Ouest","03-04-2020",4,0,0,4,1109,NA,NA
62,"Nunavut","Nunavut","03-04-2020",0,0,0,0,207,NA,NA
99,"Repatriated travellers","Voyageurs rapatriés","03-04-2020",13,0,0,13,0,NA,NA
1,"Canada","Canada","03-04-2020",12519,18,187,12537,295065,NA,NA
